"index","area_id","observed","expected","covariate_raw","covariate_std","fitted_values","risk_carbayes"
1,"S02000260",107,106.4566068,22,-0.00837758900203998,101.560535533514,0.954008760811957
2,"S02000261",23,50.97354049,7,-1.1309745152754,23.7900551793475,0.466713807804161
3,"S02000262",53,104.4923634,6,-1.20581431036029,52.7325225356592,0.504654319414688
4,"S02000263",40,90.35747009,5,-1.28065410544518,42.5226494463851,0.470604692716946
5,"S02000264",60,140.1654628,7,-1.1309745152754,64.3308465855492,0.458963608441417
6,"S02000265",25,63.93549233,6,-1.20581431036029,26.4787866884723,0.414148475651103
7,"S02000266",42,69.06125309,3.5,-1.39291379807251,39.0768162454957,0.565828369702056
8,"S02000267",27,78.68850397,3.5,-1.39291379807251,35.3515497662896,0.449259396007419
9,"S02000268",77,149.9873281,6,-1.20581431036029,77.4162423332415,0.516151886388871
10,"S02000269",38,94.52943863,3,-1.43033369561496,40.9203444173723,0.432884665458976
11,"S02000270",79,136.9556776,8,-1.0561347201905,77.3524722444731,0.564799310258556
12,"S02000271",33,99.62981499,3,-1.43033369561496,41.5833613106146,0.417378686438276
13,"S02000272",43,101.9237242,3.5,-1.39291379807251,42.8254855095507,0.420171906449536
14,"S02000273",25,74.70953435,3,-1.43033369561496,29.5482549574131,0.395508487832158
15,"S02000274",37,71.90508591,5.5,-1.24323420790273,38.5427464073534,0.53602253470075
16,"S02000275",43,69.60728522,12.5,-0.719355642308498,43.5117658586947,0.625103618409652
17,"S02000276",42,108.9552769,3,-1.43033369561496,46.5773092919102,0.427490164929407
18,"S02000277",87,82.24304631,26,0.290981591337521,78.7880530322462,0.957990451074357
19,"S02000278",31,61.91481683,8,-1.0561347201905,34.1748956885708,0.551966353747037
20,"S02000279",74,116.9056586,5,-1.28065410544518,67.27234696276,0.575441323956238
21,"S02000280",71,82.72945886,18,-0.307736769341601,69.7037505409436,0.842550543681189
22,"S02000281",84,98.54936522,17,-0.382576564426492,76.7668908816009,0.778968902643135
23,"S02000282",43,87.81100992,4,-1.35549390053007,45.239724233747,0.515194213971147
24,"S02000283",37,58.80445096,17.5,-0.345156666884047,40.2122962172789,0.68383082506173
25,"S02000284",54,75.45745849,15.5,-0.494836257053827,47.0186750392949,0.623115010499937
26,"S02000285",23,63.04681134,3.5,-1.39291379807251,28.382498980066,0.450181355358392
27,"S02000286",58,91.86182378,9,-0.981294925105615,60.0031110144803,0.653188762702794
28,"S02000287",81,106.6323898,7,-1.1309745152754,77.0645021748711,0.722711948212109
29,"S02000611",83,88.69325208,18,-0.307736769341601,86.9733382592377,0.980608290028524
30,"S02000613",85,69.41011117,22,-0.00837758900203998,81.0267185259932,1.16736188950255
31,"S02000618",105,105.1294433,15,-0.532256154596272,95.0551920355834,0.904172884891357
32,"S02000619",110,81.05837468,48,1.93745708320511,111.007347661468,1.36947413638257
33,"S02000620",123,116.8045139,37.5,1.15163923481376,124.573984618935,1.06651687044892
34,"S02000623",37,87.85767447,8,-1.0561347201905,42.8447087377816,0.487660400713331
35,"S02000626",90,89.41669071,26,0.290981591337521,89.2247265034712,0.997853150178065
36,"S02000629",55,59.48863379,37,1.11421933727132,59.9751469920009,1.0081782547523
37,"S02000630",106,69.54993903,31,0.665180566761973,97.8280330363585,1.40658689857601
38,"S02000632",128,103.1370333,35,0.964539747101535,127.903998629701,1.24013649159037
39,"S02000633",172,105.3163455,53,2.31165605862956,169.372292400334,1.60822417067571
40,"S02000635",168,122.1077495,35,0.964539747101535,166.063392537852,1.35997422946406
41,"S02000636",41,97.55096565,8,-1.0561347201905,47.0414552036945,0.482224393067241
42,"S02000640",125,125.9481046,34,0.889699952016644,129.330909723967,1.02685872196894
43,"S02000643",107,74.66200673,46,1.78777749303533,102.113066905592,1.36767107365414
