area_id,risk_abi,fitted_count_mean_abi,pred_count_mean_abi,pred_count_lower_abi,pred_count_upper_abi,observed,expected,risk_carbayes
S02000260,1.0339082,110.06636,110.035,85.975,134.0,107.0,106.456604,0.954008760811957
S02000261,0.4940235,25.182127,25.164,16.0,37.0,23.0,50.97354,0.466713807804161
S02000262,0.36372685,38.00668,38.137,23.0,59.0,53.0,104.49236,0.504654319414688
S02000263,0.45892057,41.4669,41.549,29.0,54.0,40.0,90.35747,0.470604692716946
S02000264,0.2459938,34.479836,34.48,17.0,64.0,60.0,140.16547,0.458963608441417
S02000265,0.25266978,16.154568,15.966,8.0,25.0,25.0,63.935493,0.414148475651103
S02000266,0.38986054,26.92426,26.793,16.0,40.0,42.0,69.06126,0.565828369702056
S02000267,0.35782236,28.156507,28.351,19.0,40.0,27.0,78.68851,0.449259396007419
S02000268,0.19518924,29.275913,29.369,11.975,60.025024,77.0,149.98734,0.516151886388871
S02000269,0.17691989,16.724138,16.548,9.0,26.0,38.0,94.52944,0.432884665458976
S02000270,0.2225098,30.47398,30.306,17.0,49.0,79.0,136.95567,0.564799310258556
S02000271,0.093822576,9.347526,9.244,3.0,18.0,33.0,99.629814,0.417378686438276
S02000272,0.07465125,7.608733,7.735,2.0,16.025024,43.0,101.92372,0.420171906449536
S02000273,0.05346298,3.9941943,3.976,0.0,10.0,25.0,74.70953,0.395508487832158
S02000274,0.26975173,19.39652,19.393,10.0,31.0,37.0,71.90508,0.53602253470075
S02000275,0.20725116,14.42619,14.193,7.0,24.0,43.0,69.607285,0.625103618409652
S02000276,0.033638943,3.6651402,3.734,0.0,9.025024,42.0,108.95528,0.427490164929407
S02000277,0.8798694,72.363144,72.074,18.0,110.025024,87.0,82.24305,0.957990451074357
S02000278,0.13463622,8.335978,8.271,2.0,18.0,31.0,61.914818,0.551966353747037
S02000279,0.07746034,9.055552,9.032,3.0,16.0,74.0,116.905655,0.575441323956238
S02000280,0.92864,76.82589,77.045,24.0,114.0,71.0,82.72946,0.842550543681189
S02000281,0.3529542,34.783413,34.632,18.0,60.0,84.0,98.54936,0.778968902643135
S02000282,0.07592428,6.666988,6.598,1.0,20.0,43.0,87.81101,0.515194213971147
S02000283,0.48685697,28.629356,28.849,8.0,48.0,37.0,58.80445,0.68383082506173
S02000284,0.08184465,6.1757894,6.191,1.0,19.0,54.0,75.45746,0.623115010499937
S02000285,0.027641017,1.7426779,1.811,0.0,6.0250244,23.0,63.04681,0.450181355358392
S02000286,0.32269883,29.643703,29.757,14.0,53.0,58.0,91.861824,0.653188762702794
S02000287,0.14714547,15.690474,15.629,8.0,26.0,81.0,106.63239,0.722711948212109
S02000611,0.963922,85.49338,84.817,65.0,107.0,83.0,88.69325,0.980608290028524
S02000613,1.4411721,100.03191,99.765,77.0,123.025024,85.0,69.41011,1.16736188950255
S02000618,1.6520534,173.67944,173.616,128.0,212.02502,105.0,105.12944,0.904172884891357
S02000619,1.3957589,113.13794,113.33,90.975,138.0,110.0,81.05837,1.36947413638257
S02000620,1.1028234,128.81474,128.755,103.975,159.0,123.0,116.80451,1.06651687044892
S02000623,0.8036639,70.60804,70.502,45.0,94.0,37.0,87.85767,0.487660400713331
S02000626,1.8324248,163.84935,164.307,100.95,217.02502,90.0,89.41669,0.997853150178065
S02000629,1.221198,72.6474,72.088,53.0,93.0,55.0,59.488632,1.0081782547523
S02000630,2.1560678,149.95439,150.03,120.0,182.0,106.0,69.54994,1.40658689857601
S02000632,2.7454357,283.1561,283.404,181.0,375.02502,128.0,103.13703,1.24013649159037
