"index","area_id","observed","expected","covariate_raw","covariate_std","fitted_values","risk_carbayes"
1,"11110",257,305.059943627507,19.98,-0.709833758246731,268.601895683994,0.880488904869036
2,"11140",206,244.229557059003,22.32,0.386888569494809,213.083455322602,0.872472021357857
3,"11170",402,416.129241373064,19.46,-0.953549831078184,375.664628678987,0.902759506732669
4,"11200",452,489.775613364298,20.24,-0.587975721831004,434.624730527846,0.887395612742706
5,"11215",448,531.829239776675,20.76,-0.344259648999551,452.42792427926,0.850701485441535
6,"11230",586,656.766832603434,20.66,-0.39112812454406,584.404365736426,0.889820156447058
7,"11260",668,707.032165987705,22.54,0.489999215692732,658.925173171514,0.931959258531064
8,"11290",688,784.654038871553,20.68,-0.38175442943516,700.597593686515,0.89287451409041
9,"11305",606,649.126652661406,23.5,0.93993658092003,606.691578983384,0.934627435949457
10,"11320",611,650.935336832158,20.42,-0.503612465850886,615.800559551161,0.946024166621551
11,"11350",866,895.619994213229,19.64,-0.869186575098068,859.431824092042,0.959594280660319
12,"11380",847,877.108098468447,20.78,-0.334885953890651,836.162007586348,0.953316938979818
13,"11410",513,575.87890009113,20.94,-0.259896393019432,513.58125383943,0.8918216204104
14,"11440",507,592.83625457825,19.14,-1.10352895282062,517.674769247919,0.873217124037393
15,"11470",596,678.794574034476,18,-1.63782957402803,604.389567932098,0.89038656325706
16,"11500",826,899.529868482641,20.14,-0.634844197375517,825.19066894927,0.917357719695546
17,"11530",617,696.687484027187,19.12,-1.11290264792952,627.303744462273,0.900409091370721
18,"11545",370,401.724655329192,22.56,0.499372910801633,371.043149247937,0.923625533871919
19,"11560",550,639.189043797889,17.78,-1.74094022022596,558.111717933726,0.873155951825421
20,"11590",592,677.44421971006,18.24,-1.52534523272121,584.708208268868,0.86310900773368
21,"11620",718,807.848611008102,21.84,0.161919886881159,720.018717576687,0.891279266641539
22,"11650",425,639.465112065378,16.4,-2.3877251827402,454.874756346611,0.711336314935827
23,"11680",521,779.03446588358,18.08,-1.60033479359243,554.086936415711,0.711248296039465
24,"11710",719,934.365406482836,16.98,-2.11588802458204,728.296642010674,0.779455914096979
25,"11740",577,684.433930238211,18.68,-1.31912394032537,575.247504301208,0.840471927072638
26,"26110",110,111.006848749952,26.58,2.38348562769095,110.745996718084,0.997650126683125
27,"26140",312,279.566499930552,21.74,0.11505141133665,300.025958602194,1.07318279792724
28,"26170",253,236.281086419239,21.44,-0.0255540152968828,249.270025820618,1.05497240425894
29,"26230",694,727.297647750732,21.76,0.12442510644555,714.088574962352,0.981838147243799
30,"26260",462,501.100358228236,19.22,-1.06603417238501,475.186028986914,0.948285151236075
31,"26290",584,553.724914644247,20.5,-0.466117685415278,570.497463715654,1.03029039984987
32,"26320",515,494.897473933542,19.36,-1.0004183066227,505.581833089341,1.02158903554483
33,"26350",719,715.572227377461,21.34,-0.0724224908413937,716.064848300985,1.00068842935021
34,"26380",594,589.188102158466,22.18,0.321272703732494,598.421220683273,1.01567091815157
35,"26410",492,493.456039634025,19.98,-0.709833758246731,493.526461763558,1.00014271206324
36,"26440",145,160.167552634327,20.96,-0.250522697910531,158.246455566894,0.988005703803075
37,"26470",374,397.875779632542,19.3,-1.0285393919494,380.681555958551,0.956784945065341
38,"26500",356,378.349360990596,21.4,-0.0443014055146848,362.837815832598,0.959002057999026
39,"26530",426,385.997321847636,21.86,0.171293581990061,410.464336450022,1.06338648798202
40,"26710",282,260.721089332085,20.92,-0.269270088128334,275.965060893404,1.0584685021084
41,"27110",168,178.221121184196,20.24,-0.587975721831004,182.735534823687,1.02533040758298
42,"27140",797,685.689472097647,21.62,0.0588092406832356,784.072931328661,1.14348107012645
43,"27170",475,397.820644384667,24.58,1.44611611680074,468.400532612529,1.1774163538874
44,"27200",384,362.673881724023,23.1,0.752462678741989,388.312509949976,1.07069334054075
45,"27230",761,655.104316248647,20.54,-0.447370295197474,754.317135398063,1.1514458334171
46,"27260",651,729.376937183813,17.28,-1.97528259794851,664.745648587142,0.911388357237866
47,"27290",886,832.565837857054,21.28,-0.100543576168099,895.932032995341,1.0761095306305
48,"27710",428,320.679661847255,21.3,-0.0911698810591957,382.161267849554,1.19172281038385
49,"28110",222,202.059232435338,22.44,0.443130740148222,221.246532015009,1.09495878682906
50,"28140",168,151.064296718828,24.36,1.34300547060282,163.484528430492,1.08221818114165
51,"28177",779,727.292117337499,28.06,3.0771390657497,779.564082012765,1.07187203522379
52,"28185",328,389.43331417384,19.4,-0.98167091640489,330.095669301411,0.847630793995346
53,"28200",767,724.10545148662,23.5,0.93993658092003,754.748449078172,1.04231841857928
54,"28237",828,800.374708657203,21.84,0.161919886881159,827.338828971861,1.03368937076972
55,"28245",477,418.238946485991,23.96,1.15553156842478,455.234289143009,1.08845503979926
56,"28260",599,600.223215911601,21.3,-0.0911698810591974,604.622234829498,1.00732897162469
57,"29110",212,240.578308103133,20.06,-0.672338977811124,229.125059102946,0.952392844182455
58,"29140",473,449.821073241165,20.12,-0.644217892484417,466.737016140654,1.03760593690643
59,"29155",382,396.128208783294,19.66,-0.859812879989166,393.003109043084,0.992110888164695
60,"29170",692,682.146714602623,20.06,-0.672338977811122,692.35208487647,1.01496066763261
61,"29200",491,417.714305732661,21.08,-0.194280527257118,462.679658186678,1.10764618744658
62,"30110",442,450.721768919203,22.78,0.602483556999556,458.456895749086,1.0171616446404
63,"30140",523,488.642975768108,21.96,0.218162057534572,512.038401254328,1.04787836241674
64,"30170",626,661.458997310519,21.72,0.105677716227746,639.782602452727,0.967229420196977
65,"30200",317,364.260763033984,16.66,-2.26586714632447,334.718923571975,0.918899199529616
66,"30230",292,299.587903531965,23.14,0.771210068959791,300.132907732259,1.0018191795926
67,"31110",358,340.182403667271,21.52,0.011940765138728,364.392960839661,1.0711693400699
68,"31140",418,406.402931365798,19.4,-0.981670916404892,428.608121303505,1.05463836066114
69,"31170",218,199.202397930862,22.34,0.396262264603711,219.362362058645,1.1012034209286
70,"31200",217,188.891552701177,20.06,-0.672338977811122,211.619535812469,1.12032291961328
71,"31710",429,345.041136653605,21.08,-0.194280527257118,397.306035137411,1.15147439806946
72,"36110",394,332.007807982646,17.44,-1.90029303707729,371.719547625094,1.11961086061122
73,"41111",395,405.88448230514,20.62,-0.409875514761865,387.075733674501,0.953659847935504
74,"41113",408,431.175764160673,22.78,0.602483556999558,411.459115409125,0.95427236317438
75,"41115",325,299.885304286839,22.2,0.330646398841396,312.38529597275,1.04168257499526
76,"41117",272,283.929990549062,17.16,-2.03152476860192,255.108759845028,0.898491770283583
77,"41131",369,372.289129623891,25.08,1.68045849452329,376.488655408314,1.01128028043329
78,"41133",436,364.912853514333,24.64,1.47423720212745,414.692176110112,1.1364142756726
79,"41135",503,700.639702214242,15.24,-2.93139949905652,506.599203578759,0.723052379101194
