"draw","beta_0","sigma2_w","eta","rho"
1,-0.221880961934368,0.637845963344302,0.878002222884183,0.929255883047805
2,-0.212911754363563,1.41749222672957,0.869503454669329,0.975514768614105
3,-0.244861218378836,0.816519829388595,0.785714642569665,0.955675074768226
4,-0.222311142054727,0.897869746876345,0.834273036794946,0.960744811912664
5,-0.218338892930761,0.457628008577905,1.05407466843974,0.891626592332636
6,-0.232374749410118,0.545000399258421,0.808900062904296,0.90103922314494
7,-0.218466419925185,0.147185097789951,0.949768722741254,0.761956601303723
8,-0.223767781238613,0.213745999715606,0.735243055802621,0.794449167986407
9,-0.222824903768093,0.167883729929756,0.910468732279974,0.799160495218457
10,-0.232004337074612,0.120465744300314,0.897229947295341,0.661007605656253
11,-0.234516285498121,0.180782612053704,1.00195098151787,0.671191086011168
12,-0.216274800703555,0.116886340959159,0.795889586843078,0.602502785127169
13,-0.213054939772132,0.138598530847766,0.800785013016519,0.554007976606074
14,-0.218038415228546,0.121641307226794,0.876050764323384,0.632718915041436
15,-0.203666103057441,0.193275381087636,0.834381887184615,0.810136636631594
16,-0.22828140398776,0.335866205168767,0.950463253097769,0.89911993668692
17,-0.212761952816712,0.220000169314696,0.853073564644,0.745945426035754
18,-0.23132621626708,0.178166558711383,0.90220040928518,0.680991386566147
19,-0.203411998386187,0.305532232817087,0.760725169137223,0.790505231566069
20,-0.214389552316407,0.658309024506853,0.71240064868139,0.916419806230655
21,-0.214503860999528,0.436167596827674,0.827375254648695,0.924971135759365
22,-0.218175146826873,0.481572714649796,0.901588233173035,0.901911521571053
23,-0.221292104230427,0.135477887770659,0.848635506722375,0.675603060619936
24,-0.209402466083154,0.255220287620673,0.893961537642374,0.844942284968565
25,-0.244758740654056,0.255226389331174,1.11445140987926,0.855857517598595
26,-0.223161724842932,0.318132746915512,0.857579933138387,0.887061551130628
27,-0.226341549525841,0.378085822532516,0.899409218884334,0.8852500695189
28,-0.234986986999772,0.362679503282213,0.803276874699596,0.852305408843891
29,-0.218032833936388,0.147446542508647,0.792656097772871,0.634954842892249
30,-0.227802067281468,0.19131089076712,1.08755762846246,0.743006645120033
31,-0.210001776522631,0.275847409280567,0.886568914433942,0.824945221018398
32,-0.217665247682126,0.204437605742385,0.830978025912677,0.784861314417913
33,-0.204374973501806,0.221991376295271,0.88064478899828,0.796152048373213
34,-0.230388473947241,0.288652591487269,1.1300686355508,0.854427974584043
35,-0.205608309685204,0.566451196143735,0.855026834321899,0.911968460213258
36,-0.227340595809288,0.266531206111186,0.991362168090929,0.860140210937702
37,-0.235644989149571,0.404201049368543,0.796156817242397,0.865158463994828
38,-0.214813445482466,0.448896330842503,0.896969503973282,0.91924277883279
39,-0.221706454489901,0.276023297508094,1.01725107707687,0.835939706190337
40,-0.234050767479888,0.296218962780824,0.90048881450133,0.863401488789998
41,-0.215347899679619,0.275443390495729,0.925183138183378,0.81321160449134
42,-0.210919362334722,0.279059932088689,0.908118309101938,0.870121028386891
43,-0.215851281164449,0.335513458466409,0.865513311833585,0.878276694813027
44,-0.223228207977591,0.334931665878009,0.881578339841533,0.863774770748181
45,-0.211473806762896,0.278517758938818,0.872536641873879,0.868051040205557
46,-0.230055242374832,0.39765749754992,0.724793547041765,0.901410920248911
47,-0.22339017065311,0.534536624839122,0.899802049127662,0.934430368071682
48,-0.215177416301486,0.293925685303075,0.775537688519968,0.884208676258539
49,-0.219650845210089,0.456441324696908,0.815326455703747,0.898237348370862
50,-0.230791363585328,0.37414071394564,0.826176504416302,0.88477968337108
51,-0.204578645872379,0.471071821377372,0.860283056176642,0.917053512159607
52,-0.209458462303181,0.537883984730293,0.896382424217234,0.926739718830725
53,-0.210893261582437,0.295521406543832,0.871268374741093,0.881964237558714
54,-0.23453954814296,0.457721973932726,0.832602832484874,0.908902766434309
55,-0.217266642726008,0.407432085372416,0.931791324309573,0.915149376430264
56,-0.226189821888371,0.666321284574329,0.787108957848151,0.943156157176475
57,-0.227844207023463,0.693873498944412,1.00901815864254,0.929882420699585
58,-0.22569388422736,0.419824530204423,0.910127772349226,0.885959294807993
59,-0.211859685402378,0.195728468108672,0.77952438730615,0.836734576290756
60,-0.217182765458801,0.249407663771947,1.04172813675331,0.84351088657802
61,-0.231464501623405,0.354225911493588,1.03738611202453,0.904220836105755
62,-0.209233324487799,0.310728550021712,0.951391936724219,0.844306235624276
63,-0.223299742475581,0.135344641206433,0.894481317553024,0.773852676285873
64,-0.211703745696778,0.196288468575977,0.874783519279354,0.751361689836965
65,-0.207541206726149,0.118614495819857,0.917145638834013,0.695023587210849
66,-0.215704793163134,0.193651789787944,0.984715935180331,0.744251741355612
67,-0.225098023582222,0.251240271432794,0.918221746214825,0.811282850055896
68,-0.226795411169737,0.136990182157571,0.690514793534295,0.590674643974839
69,-0.202175552477594,0.107005904175416,0.750077442871464,0.459460672810022
70,-0.234122371000853,0.144466326143294,0.83178140661263,0.634655222669036
71,-0.209429587684503,0.153062481830404,0.826092342795666,0.726029310492431
72,-0.24506668807662,0.180855082871831,0.889554024177535,0.802740216112918
73,-0.206937769533025,0.190767436298244,0.888780419173317,0.809417243295907
74,-0.225281168536956,0.258162286622811,0.76939919034935,0.820699387602918
75,-0.228795891360371,0.211829271186932,0.903791510340702,0.800076193792817
76,-0.220877091211944,0.150268012609492,0.869496045518907,0.685429032707333
77,-0.209022365263017,0.184573374750238,0.89430973503249,0.700594517401352
78,-0.234494894046979,0.154107458108315,0.897526176271136,0.747013950110856
79,-0.220244138096586,0.182077482075848,0.708576800956713,0.771674157641011
80,-0.24086867961713,0.183394589980899,0.779494996847776,0.729189633521711
81,-0.214469784806231,0.152424085329783,0.747002313859856,0.682634157948053
82,-0.21613748522384,0.179317140621013,0.81397520859409,0.728629243137844
83,-0.224060019318364,0.208074344867374,0.855737762285167,0.779824335451454
