"index","area_id","observed","expected","covariate_raw","covariate_std","fitted_values","risk_carbayes"
1,"alameda",3416,3429.35119454417,11.5,-0.724135629087917,3425.66722850358,0.998925754222417
2,"alpine",2,3.55550755919808,12.6,-0.466035890899039,3.90245348480575,1.09757985880528
3,"amador",209,144.847881111858,12.6,-0.466035890899039,190.425198862663,1.3146564340531
4,"butte",849,612.78692441376,15.9,0.308263323667594,841.852161414495,1.37380895034579
5,"calaveras",191,178.223311061036,12.6,-0.466035890899039,198.577626804279,1.11420680954733
6,"colusa",57,47.7002044065521,18.9,1.01217170054635,62.631787506654,1.31302975083375
7,"contra costa",2665,2647.86255719695,12.6,-0.466035890899039,2684.17886136729,1.01371532826416
8,"del norte",93,72.3113363377492,24.7,2.37306122917862,92.5817327469075,1.28032114237912
9,"el dorado",593,552.26773898515,15.9,0.308263323667594,603.705164736729,1.09313856689529
10,"fresno",1946,1819.4667009013,19.1,1.0590989256716,1941.82126225541,1.06724748592184
11,"glenn",101,68.7781574989411,18.9,1.01217170054635,96.694718624293,1.40589283197622
12,"humboldt",463,344.54311150598,14.4,-0.0436908647717849,459.368275119693,1.33326791272018
13,"imperial",322,355.083168883852,10.2,-1.02916259240205,328.915926745096,0.926306723517737
14,"inyo",71,63.0410966168786,12.6,-0.466035890899039,66.6883340166953,1.05785491680105
15,"kern",1687,1503.25668737611,14.7,0.0266999729160906,1650.55427383573,1.09798565188273
16,"kings",237,243.306713139417,13.9,-0.161008927584911,239.3112274699,0.983578399387495
17,"lake",367,213.482552419816,25.5,2.56077012967962,359.61255045574,1.68450557846319
18,"lassen",76,68.7666044644875,15.3,0.167481648291842,77.5621177867305,1.12790384796133
19,"los angeles",18305,20958.8768282324,11.6,-0.700672016525292,18332.537342754,0.874690828759458
20,"madera",361,326.839799897474,10.6,-0.935308142151544,358.572485217141,1.09708941606751
21,"marin",680,823.258889818088,8.9,-1.33418955571617,686.89178198745,0.834356956824638
22,"mariposa",76,70.2288814001238,19.2,1.08256253823423,76.9804478388985,1.09613660796202
23,"mendocino",305,262.973164462428,15,0.0970908106039665,313.827832324013,1.19338348825646
24,"merced",537,472.457272054644,16.4,0.42558138648072,529.377158260547,1.12047626224138
25,"modoc",32,34.327349992298,15.3,0.167481648291842,37.8858493487631,1.10366367800787
26,"mono",20,31.8834487139292,12.6,-0.466035890899039,31.4307909976526,0.985802736700851
27,"monterey",763,876.750814479617,10.6,-0.935308142151544,778.76650077015,0.888241548121487
28,"napa",429,390.569207692404,15.6,0.237872485979718,428.894240950191,1.09812610032476
29,"nevada",345,366.178227354089,15.3,0.167481648291842,350.245997153566,0.956490503775594
30,"orange",6508,6984.76624497194,11.1,-0.817990079338418,6518.10803321549,0.933189144004299
31,"placer",1118,1057.30422304696,9,-1.31072594315355,1121.25264316537,1.06048251650232
32,"plumas",74,75.1733838477286,15.3,0.167481648291842,86.3757328509141,1.14902015088049
33,"riverside",5294,5091.77767508624,11.8,-0.653744791400041,5289.03017997337,1.03873941822956
34,"sacramento",4078,3178.41685455885,15.9,0.308263323667594,4056.79435446252,1.2763569223602
35,"san benito",108,115.652348397862,10.5,-0.95877175471417,108.521972935099,0.938346470594499
36,"san bernardino",3871,3777.89398441496,13.8,-0.184472540147536,3868.02507854903,1.02385749692974
37,"san diego",7177,6953.91146271465,11,-0.841453691901043,7173.10433320115,1.03152080259603
38,"san francisco",2288,2086.24909095653,10.8,-0.888380917026294,2283.85007438819,1.09471591110008
39,"san joaquin",1764,1416.81977219077,13.8,-0.184472540147536,1743.36573304693,1.23047812238761
40,"san luis obispo",813,790.697362486689,13,-0.372181440648538,807.473404697404,1.02121676763655
41,"san mateo",1773,1871.88580984894,6.7,-1.85038903209393,1774.81576721079,0.948143181529868
42,"santa barbara",957,1016.4421811964,11.1,-0.817990079338418,963.621681321515,0.948033935572496
43,"santa clara",3720,3985.25319381782,8.6,-1.40458039340405,3728.65414421826,0.935612861436857
44,"santa cruz",538,624.834013179983,10.5,-0.95877175471417,546.008621210713,0.873845868972302
45,"shasta",787,545.879875936878,20.6,1.41105311411098,768.621720671982,1.40804186883207
46,"sierra",8,12.7682175045562,15.3,0.167481648291842,13.0973171041809,1.02577490550323
47,"siskiyou",189,156.711900731642,24.7,2.37306122917862,196.185960038568,1.25188935315463
48,"solano",1209,990.207637380883,11.5,-0.724135629087917,1197.91667038667,1.20976310943752
49,"sonoma",1391,1359.60689337422,12.7,-0.442572278336414,1391.89740826565,1.02374989053733
50,"stanislaus",1252,1076.72278159846,16.5,0.449044999043345,1244.11079684471,1.15546064233707
51,"sutter",276,225.707654073861,14.9,0.0736271980413414,275.735014016635,1.2216467144105
52,"tehama",269,183.463229850759,18.9,1.01217170054635,257.212733958964,1.40198520525447
53,"trinity",72,51.2427743252101,24.7,2.37306122917862,70.4746963134871,1.37530992889305
54,"tulare",747,807.263747877693,16.9,0.542899449293846,760.039558609709,0.941500916655632
55,"tuolumne",202,201.14318731315,19.2,1.08256253823423,210.116232598786,1.04461023714249
56,"ventura",1795,1942.27071419704,10.4,-0.982235367276795,1799.43995369173,0.926461970794655
57,"yolo",405,399.279352588685,11.5,-0.724135629087917,420.743561126991,1.05375737162251
58,"yuba",225,143.679100009962,22.3,1.80993452767561,221.497756622092,1.54161430999174
